OMII0II1174041599,Lung surgery,OMII0IIN500013839
OMII0II182934590,Wedge resection of lung,OMII0IIN500013839
OMII0II1311571353,Surgical therapy,OMII0IIN385915014
OMII0II310005344,Operations,OMII0IIN385915014
OMII0II561969349,Surgery in pregnancy,OMII0II565605069
OMII0II1620311804,Spinal operation,OMII0II873151612
OMII0II1987031780,Surgery on the spine,OMII0II873151612
OMII0II276330156,Surgery on vertebrae,OMII0II873151612
OMII0II874402629,Spinal stenosis surgery,OMII0II873151612
OMII0II46719637,Soft tissue surgery,OMII0II1900079951
OMII0II189542889,Tendon surgery,OMII0II1900079951
OMII0II979280419,Surgery on tendons,OMII0II1900079951
OMII0II611407110,Surgery on muscles,OMII0II1900079951
OMII0II1924407412,Organ transplant,OMII0II2090619347
OMII0II131186222,Recipient of transplant,OMII0II2090619347
OMII0II1443156032,Marrow transplant,OMII0IIN645817451
OMII0II1787180472,ENT specialist,OMII0IIN1125726132
OMII0II1895510312,Cardiac transplantation,OMII0II875756165
OMII0II505326905,Heart-lung transplant,OMII0IIN638533774
OMII0II1941186680,Pancreatic transplant,OMII0IIN1815869665
OMII0II1063338000,Renal surgery,OMII0II1035339040
OMII0II1065415755,Kidney surgery,OMII0II1035339040
OMII0II589538549,Anti-D,OMII0IIN119414307
OMII0II1860962104,Routine antenatal anti-D prophylaxis,OMII0IIN119414307
OMII0II1755343627,Lobectomy,OMII0IIN500013839
OMII0II1850684306,Pneumonectomy,OMII0IIN500013839
OMII0IIN1353067394,STDs,OMII0IIN133665583
OMII0IIN356144824,Sexually transmitted diseases,OMII0IIN133665583
OMII0II795959315,Cyclical breast pain,OMII0IIN1780247602
OMII0II782857490,Genital infections,OMII0IIN133665583
OMII0II1004629997,Caesar,OMII0II1432657451
OMII0II1734621864,CS,OMII0II1432657451
OMII0II1219147286,Septicaemia,OMII0II1767010831
OMII0II596862322,Womb cancer,OMII0II1954814798
OMII0IIN1939541430,Inherited disorders,OMII0IIN1007380493
OMII0IIN1524203194,Hereditary disorders,OMII0IIN1007380493
OMII0II749086259,Cyanosis,OMII0II769173679
OMII0II2057003191,Blushes,OMII0II948525386
OMII0IIN592318247,Myocardial infarction,OMII0II1031693660
OMII0II1148295096,Dietary therapy,OMII0II348888169
OMII0II1963230429,Oral rehydration,OMII0II947871261A
OMII0II1055824334,Therapeutic diet,OMII0II348888169
OMII0II807519946,Parenteral nutrition,OMII0II348888169
OMII0II394268664,Enteral nutrition,OMII0II348888169
OMII0II1049221648,Dehydrated,OMII0II1555510514
OMII0II749792749,Discharge from the ear,OMII0II1265973829
