OMII0IIN1593378375,Seasons and seasonal events,Use for concept mapping,NT|OMII0II1887934877|Christmas|NT|OMII0II801247579|New Year|NT|OMII0II848517065I|Floods|NT|OMII0II42929246|Cold weather|NT|OMII0II1675623009|Summer|NT|OMII0II987498604|School holidays|NT|OMII0IIN1083420944|Autumn|NT|OMII0IIN814372135I|Hot weather|NT|OMII0IIN578171411E|Ramadan|NT|OMII0IIN700329979|Winter|NT|OMII0IIN1201250839|Spring
OMII0II1675623009,Summer,Use for concept mapping,"X-Seasonal advice|OMII0II754203028|Skin health|X-Seasonal advice|OMII0II700787068|Music festival health|X-Seasonal advice|OMII0II917306565|Travel, holidays and leisure|X-Seasonal advice|OMII0II1661597840|Home hygiene|X-Seasonal advice|OMII0IIN897716985|Sun damage prevention|RT|OMII0II987498604|School holidays"
OMII0IIN700329979,Winter,Use for concept mapping,"X-Seasonal advice|OMII0IIN1417546905|Colds and flu prevention|X-Seasonal advice|OMII0II917306565|Travel, holidays and leisure|RT|OMII0II1090063536|Winter fuel payment|RT|OMII0IIN1826473428|Cold Weather Payment|RT|OMII0II1805177622|Christmas Bonus"
OMII0IIN1201250839,Spring,Use for concept mapping,
OMII0IIN1083420944,Autumn,Use for concept mapping,
OMII0IIN578171411E,Ramadan,Use for concept mapping,X-Seasonal advice|OMII0II437620773|Fasting and your health
OMII0II42929246,Cold weather,Use for concept mapping,X-Seasonal advice|OMII0IIN1417546905|Colds and flu prevention|X-Seasonal advice|OMII0IIN1688155719|Getting active|RT|OMII0IIN1826473428|Cold Weather Payment|RT|OMII0II1090063536|Winter fuel payment
OMII0IIN814372135I,Hot weather,Use for concept mapping,"X-Seasonal advice|OMII0IIN897716985|Sun damage prevention|X-Seasonal advice|OMII0IIN1227311067|Personal hygiene|X-Seasonal advice|OMII0IIN1487170243|Food hygiene|X-Seasonal advice|OMII0II1661597840|Home hygiene|X-Seasonal advice|OMII0II917306565|Travel, holidays and leisure"
OMII0II1887934877,Christmas,Use for concept mapping,"X-Seasonal advice|OMII0II144908891|Safe drinking|X-Seasonal advice|OMII0II917306565|Travel, holidays and leisure|X-Seasonal advice|OMII0IIN976570407E|Healthy eating|RT|OMII0II987498604|School holidays|RT|OMII0II1805177622|Christmas Bonus"
OMII0II848517065I,Floods,Use for concept mapping,X-Seasonal advice|OMII0II1661597840|Home hygiene
OMII0II801247579,New Year,Use for concept mapping,X-Seasonal advice|OMII0II144908891|Safe drinking|X-Seasonal advice|OMII0IIN976570407E|Healthy eating|X-Seasonal advice|OMII0II1555968307|Weight management|X-Seasonal advice|OMII0IIN1688155719|Getting active
OMII0II987498604,School holidays,Use for concept mapping,X-Seasonal advice|OMII0IIN1688155719|Getting active|X-Seasonal advice|OMII0IIN976570407E|Healthy eating|RT|OMII0IIN1575713028|Flexible working|RT|OMII0II207322803|Working hours and conditions
OMII0II1115033214,. General Comments,Use for concept mapping,
OMII0IIN1283389965,Health and care regulators,Use for concept mapping,NT|OMII0IIN1264680259|Medical Research Council|NT|OMII0II1466583099|General Medical Council|NT|OMII0IIN1030253076K|National Patient Safety Agency|NT|OMII0IIN52958025|Medicines and Healthcare products Regulatory Agency|NT|OMII0IIN1030530284|Care Quality Commission|NT|OMII0IIN952685666|National Research Ethics Service|NT|OMII0II581261777|National Institute for Health and Clinical Excellence|NT|OMII0IIN414815877|The National Clinical Assessment Service|NT|OMII0II1912267272|Health Professions Council|NT|OMII0IIN2034498421|Ofsted|NT|OMII0IIN2027440380B|Health Protection Agency|NT|OMII0II1930966014|Social Care Institute for Excellence|NT|OMII0IIN12579655|Human Tissue Authority|NT|OMII0II1900124270|Dental Complaints Service|NT|OMII0II384058133|Human Fertilisation and Embryology Authority
OMII0IIN1030530284,Care Quality Commission,Use for concept mapping,
OMII0IIN12579655,Human Tissue Authority,Use for concept mapping,X-Staff include|OMII0IIN1434399110|Pathologists
OMII0IIN52958025,Medicines and Healthcare products Regulatory Agency,Use for concept mapping,
OMII0IIN1264680259,Medical Research Council,Use for concept mapping,
OMII0IIN414815877,The National Clinical Assessment Service,Use for concept mapping,
OMII0IIN952685666,National Research Ethics Service,Use for concept mapping,
OMII0II1900124270,Dental Complaints Service,Use for concept mapping,
OMIIN256962290IIN590487641bSzFsAhzZBIAu93o9ikk,Fight For Sight,Use for concept mapping,
OMII1551883830IIN707126674HXuY1W4zOplJnU8cDlGJ,Gut Trust,Use for concept mapping,
OMIIN1028253600IIN1720354009oGk1xHpzHIavBfyRVFlu,H.U.S.H,Use for concept mapping,
OMIIN599898748II1369505279YpOOAXQ8XShe17fuglJ2,Hearing Concern,Use for concept mapping,X-Staff include|OMII0II1080383813|Audiologists
OMII218162866IIN266095871kEoFpHoMS3WVhuQqtjAr,Hep Info,Use for concept mapping,
OMIIN1899258422II8923179613iLSMt6JHU0X7Ggeq4HT,Helen Arkell Dyslexia Centre,Use for concept mapping,
OMIIN186561121IIN1107707838rzWx4iilG3pBE09RfQfI,Harmless,Use for concept mapping,
OMII31597570II1338478665kcjcCQVYH45z6IT41Pj1,Hepatitis B Foundation UK,Use for concept mapping,
